kills,win,matches,wpct
0,76,1626783,4.671797037465968e-05
1,745,658441,0.001131460525696304
2,2009,293987,0.006833635500889495
3,3300,139551,0.023647268740460477
4,4019,70492,0.05701356182261817
5,3991,37731,0.10577509209933476
6,3423,21027,0.16279069767441862
7,2978,12408,0.24000644745325597
8,2454,7662,0.3202819107282694
9,1968,4847,0.40602434495564266
10,1533,3086,0.4967595593000648
11,1170,2079,0.5627705627705628
12,881,1397,0.6306370794559771
13,668,977,0.6837256908904811
14,499,708,0.7048022598870056
15,340,466,0.7296137339055794
16,267,339,0.7876106194690266
17,170,225,0.7555555555555555
18,119,142,0.8380281690140845
19,103,121,0.8512396694214877
20,87,109,0.7981651376146789
21,69,86,0.8023255813953488
22,72,83,0.8674698795180723
23,47,55,0.8545454545454545
24,43,45,0.9555555555555556
25,29,36,0.8055555555555556
26,34,42,0.8095238095238095
27,20,25,0.8
28,17,19,0.8947368421052632
29,14,15,0.9333333333333333
30,9,10,0.9
31,17,18,0.9444444444444444
32,13,13,1.0
33,7,7,1.0
34,10,10,1.0
35,8,10,0.8
36,3,3,1.0
37,9,9,1.0
38,7,8,0.875
39,8,9,0.8888888888888888
40,7,8,0.875
41,8,9,0.8888888888888888
42,3,4,0.75
43,4,4,1.0
44,9,10,0.9
45,7,8,0.875
46,6,6,1.0
47,4,4,1.0
48,6,7,0.8571428571428571
49,7,7,1.0
50,3,3,1.0
51,3,3,1.0
52,3,3,1.0
53,3,3,1.0
54,1,1,1.0
55,2,2,1.0
60,2,2,1.0
61,2,2,1.0
64,1,3,0.3333333333333333
